Student	1500	3
100363	'que fei'	'F'	
100364	'zhai qin'	'F'	
100365	'kun xue'	'M'	
100366	'pao qian'	'F'	
100367	'chuai qin'	'F'	
100368	'san lian'	'F'	
100369	'suo shi'	'M'	
100370	'ruo wu'	'F'	
100371	'tuo tao'	'F'	
100372	'ga fei'	'F'	
100373	'qia lei'	'M'	
100374	'chan liu'	'M'	
100375	'zei chang'	'M'	
100376	'run wang'	'M'	
100377	'tang le'	'F'	
100378	'he su'	'F'	
100379	'qi lu'	'M'	
100380	'ba yan'	'M'	
100381	'wan shi'	'M'	
100382	'bo qin'	'M'	
100383	'ping wei'	'M'	
100384	'mao bai'	'F'	
100385	'cun lv'	'F'	
100386	'fa wei'	'F'	
100387	'en yang'	'M'	
100388	'fang he'	'F'	
100389	'hou chang'	'F'	
100390	'lei pan'	'M'	
100391	'nan fei'	'F'	
100392	'yan ni'	'F'	
100393	'miu xi'	'M'	
100394	'de su'	'F'	
100395	'die feng'	'M'	
100396	'ken xue'	'F'	
100397	'cuan zhou'	'M'	
100398	'bi jiang'	'F'	
100399	'che yu'	'M'	
100400	'zhan tang'	'F'	
100401	'nu qi'	'M'	
100402	'nie ma'	'F'	
100403	'chan su'	'F'	
100404	'nian xi'	'F'	
100405	'xue miao'	'M'	
100406	'zei jiang'	'F'	
100407	'zao ma'	'F'	
100408	'lang hao'	'M'	
100409	'run gu'	'F'	
100410	'xin meng'	'F'	
100411	'heng kong'	'M'	
100412	'luan su'	'M'	
100413	'si meng'	'M'	
100414	'chuai kang'	'F'	
100415	'tie he'	'M'	
100416	'qun shi'	'M'	
100417	'shuo lang'	'M'	
100418	'yi cen'	'M'	
100419	'jie shi'	'M'	
100420	'gen wei'	'F'	
100421	'zang lian'	'F'	
100422	'kuang xiao'	'M'	
100423	'niang wu'	'F'	
100424	'jiong shi'	'F'	
100425	'sen fan'	'M'	
100426	'miao zheng'	'M'	
100427	'deng su'	'M'	
100428	'piao wei'	'F'	
100429	'zeng cen'	'F'	
100430	'rong kang'	'F'	
100431	'ba fan'	'M'	
100432	'hai you'	'M'	
100433	'piao tang'	'M'	
100434	'kuai chu'	'F'	
100435	'yong zheng'	'M'	
100436	'pan li'	'M'	
100437	'xuan yan'	'F'	
100438	'tan kang'	'F'	
100439	'wang peng'	'F'	
100440	'kua jin'	'M'	
100441	'ben chu'	'M'	
100442	'dan ju'	'F'	
100443	'wo bi'	'F'	
100444	'ning shen'	'M'	
100445	'o tao'	'M'	
100446	'seng wei'	'F'	
100447	'yi bu'	'F'	
100448	'shuan he'	'M'	
100449	'ning zhao'	'F'	
100450	'mi he'	'F'	
100451	'rong shi'	'F'	
100452	'gao zhu'	'F'	
100453	'xiang luo'	'F'	
100454	'deng you'	'M'	
100455	'mai xiao'	'M'	
100456	'hua sun'	'M'	
100457	'dao feng'	'F'	
100458	'luo wu'	'F'	
100459	'ba fu'	'M'	
100460	'kao wu'	'M'	
100461	'pin li'	'F'	
100462	'diao zhao'	'M'	
100463	'cuan ge'	'M'	
100464	'kang tang'	'F'	
100465	'ba ping'	'F'	
100466	'duan wei'	'M'	
100467	'shu he'	'F'	
100468	'jiang fei'	'M'	
100469	'chang teng'	'F'	
100470	'di wei'	'M'	
100471	'ai fu'	'M'	
100472	'yi ma'	'F'	
100473	'yu yu'	'M'	
100474	'cen he'	'F'	
100475	'ceng meng'	'F'	
100476	'pan luo'	'M'	
100477	'kuan yu'	'F'	
100478	'tong liu'	'M'	
100479	'men pan'	'F'	
100480	'zang wu'	'F'	
100481	'nuan fu'	'F'	
100482	'longg shui'	'M'	
100483	'biao bao'	'M'	
100484	'mi lu'	'F'	
100485	'she fang'	'M'	
100486	'ha zheng'	'F'	
100487	'yi gu'	'F'	
100488	'dan zhu'	'F'	
100489	'pa wu'	'M'	
100490	'wu yu'	'F'	
100491	'kong yuan'	'F'	
100492	'qia yang'	'F'	
100493	'nou shen'	'F'	
100494	'pai zhang'	'M'	
100495	'zun ge'	'F'	
100496	'zi mu'	'F'	
100497	'niang bu'	'M'	
100498	'che he'	'M'	
100499	'jiao qi'	'M'	
100500	'gan qi'	'F'	
100501	'chi qi'	'M'	
100502	'nie meng'	'F'	
100503	'nie chu'	'M'	
100504	'pu zhu'	'M'	
100505	'hun an'	'F'	
100506	'biao li'	'F'	
100507	'xiu chu'	'F'	
100508	'xing chen'	'M'	
100509	'biao li'	'M'	
100510	'liu jiang'	'F'	
100511	'zhuan jiang'	'F'	
100512	'rui ni'	'F'	
100513	'shun he'	'M'	
100514	'ru jin'	'M'	
100515	'e ren'	'F'	
100516	'peng shi'	'F'	
100517	'xing an'	'M'	
100518	'long fu'	'F'	
100519	'han yuan'	'M'	
100520	'gu an'	'F'	
100521	'mie zhao'	'F'	
100522	'zi kong'	'M'	
100523	'pi dou'	'M'	
100524	'yu sun'	'M'	
100525	'cha bi'	'M'	
100526	'sa hua'	'M'	
100527	'zhan jiang'	'M'	
100528	'shua sun'	'F'	
100529	'yin jiang'	'M'	
100530	'mi fu'	'F'	
100531	'lue qian'	'M'	
100532	'qu yu'	'M'	
100533	'du lu'	'M'	
100534	'du gu'	'F'	
100535	'gong fei'	'M'	
100536	'cuo qi'	'M'	
100537	'yi shui'	'F'	
100538	'zai yu'	'M'	
100539	'zu ju'	'F'	
100540	'yi cao'	'M'	
100541	'zhui zhang'	'M'	
100542	'pen bai'	'M'	
100543	'na wu'	'F'	
100544	'li chang'	'M'	
100545	'jin han'	'F'	
100546	'zhai lei'	'F'	
100547	'nang miao'	'M'	
100548	'pin xiao'	'F'	
100549	'pi yu'	'F'	
100550	'bei qian'	'M'	
100551	'yu qian'	'M'	
100552	'han qian'	'F'	
100553	'en yin'	'M'	
100554	'yu lei'	'M'	
100555	'luo fang'	'F'	
100556	'zun teng'	'F'	
100557	'min cao'	'F'	
100558	'nong fan'	'M'	
100559	'sang ping'	'F'	
100560	'za zhao'	'M'	
100561	'zheng wei'	'F'	
100562	'cao yan'	'M'	
100563	'pen fan'	'M'	
100564	'ping dou'	'M'	
100565	'pang chu'	'M'	
100566	'ping bian'	'M'	
100567	'sen feng'	'M'	
100568	'die tang'	'F'	
100569	'gong he'	'F'	
100570	'hong shen'	'M'	
100571	'ga he'	'F'	
100572	'jin ju'	'F'	
100573	'nao hao'	'M'	
100574	'dan feng'	'F'	
100575	'yu qin'	'M'	
100576	'tuo kong'	'F'	
100577	'en lv'	'F'	
100578	'tuo jiang'	'F'	
100579	'feng jiang'	'M'	
100580	'jiao qin'	'F'	
100581	'jiao fu'	'M'	
100582	'gou liu'	'F'	
100583	'deng gu'	'F'	
100584	'suo su'	'M'	
100585	'hei he'	'M'	
100586	'shu zhou'	'M'	
100587	'shu kong'	'M'	
100588	'chen lv'	'F'	
100589	'ke he'	'M'	
100590	'lin wu'	'F'	
100591	'gui shi'	'M'	
100592	'zhui feng'	'F'	
100593	'shi yu'	'F'	
100594	'zang bao'	'M'	
100595	'shuai zhou'	'M'	
100596	'zei yu'	'F'	
100597	'sou su'	'M'	
100598	'si he'	'M'	
100599	'shao fu'	'M'	
100600	'jin qin'	'M'	
100601	'heng yu'	'M'	
100602	'he yin'	'F'	
100603	'nian luo'	'F'	
100604	'tan fei'	'F'	
100605	'lue teng'	'M'	
100606	'ang xi'	'M'	
100607	'cha yu'	'M'	
100608	'dun fei'	'F'	
100609	'ping jiang'	'M'	
100610	'ti jin'	'M'	
100611	'ceng tao'	'F'	
100612	'jia yuan'	'M'	
100613	'nan he'	'F'	
100614	'dui lv'	'M'	
100615	'feng wang'	'M'	
100616	'jiao yin'	'F'	
100617	'pin chang'	'M'	
100618	'gui yan'	'F'	
100619	'chun zhang'	'M'	
100620	'guai shi'	'M'	
100621	'suo peng'	'M'	
100622	'cha he'	'F'	
100623	'lue li'	'F'	
100624	'ran hua'	'F'	
100625	'she cen'	'F'	
100626	'niu le'	'M'	
100627	'zhu he'	'F'	
100628	'kun pi'	'M'	
100629	'wan shui'	'M'	
100630	'fen yin'	'M'	
100631	'kuo mu'	'M'	
100632	'kao bao'	'F'	
100633	'pu lang'	'F'	
100634	'nian ma'	'M'	
100635	'guai yin'	'F'	
100636	'yin he'	'F'	
100637	'ta pan'	'F'	
100638	'shi fu'	'M'	
100639	'shang qin'	'F'	
100640	'yo yu'	'M'	
100641	'te he'	'M'	
100642	'bai pan'	'M'	
100643	'tou fan'	'F'	
100644	'shu wei'	'M'	
100645	'zuo fan'	'F'	
100646	'qian su'	'M'	
100647	'che yang'	'M'	
100648	'bie hua'	'F'	
100649	'yang lv'	'M'	
100650	'te xu'	'M'	
100651	'sang an'	'M'	
100652	'dai luo'	'F'	
100653	'neng yu'	'F'	
100654	'pao yun'	'F'	
100655	'cuan zheng'	'F'	
100656	'xiang you'	'M'	
100657	'lan su'	'F'	
100658	'cai yu'	'F'	
100659	'sa zhang'	'F'	
100660	'gou ping'	'M'	
100661	'ni wang'	'F'	
100662	'qian lu'	'M'	
100663	'gu kong'	'M'	
100664	'lue gu'	'M'	
100665	'ruan qi'	'M'	
100666	'gao yang'	'M'	
100667	'huai tao'	'M'	
100668	'zhong meng'	'M'	
100669	'nin xu'	'M'	
100670	'shao qi'	'M'	
100671	'jia he'	'M'	
100672	'di shen'	'F'	
100673	'hei chang'	'M'	
100674	'ban zhang'	'F'	
100675	'xie wei'	'M'	
100676	'yi qi'	'F'	
100677	'zhan feng'	'M'	
100678	'gao hao'	'F'	
100679	'nen fei'	'F'	
100680	'mai bian'	'M'	
100681	'zhai liu'	'M'	
100682	'zhai jin'	'M'	
100683	'bei jiang'	'M'	
100684	'tuan bian'	'F'	
100685	'lan teng'	'M'	
100686	'mi le'	'F'	
100687	'jing shi'	'M'	
100688	'ban chang'	'M'	
100689	'yao yuan'	'M'	
100690	'wan huang'	'F'	
100691	'cheng jiang'	'F'	
100692	'nei teng'	'F'	
100693	'le shen'	'F'	
100694	'en wang'	'M'	
100695	'nao yuan'	'M'	
100696	'gang chu'	'F'	
100697	'pen zhang'	'M'	
100698	'chou lei'	'M'	
100699	'pian he'	'M'	
100700	'chuai li'	'M'	
100701	'man xie'	'M'	
100702	'cheng lei'	'F'	
100703	'jia chang'	'M'	
100704	'fang shen'	'F'	
100705	'gui shen'	'M'	
100706	'miu tao'	'M'	
100707	'biao tao'	'M'	
100708	'ku shi'	'F'	
100709	'zuo zhang'	'M'	
100710	'ao lei'	'F'	
100711	'ca xi'	'F'	
100712	'zhan feng'	'F'	
100713	'fou wu'	'F'	
100714	'dou tang'	'M'	
100715	'xiao yun'	'F'	
100716	'long fu'	'F'	
100717	'pai ge'	'M'	
100718	'ka yu'	'F'	
100719	'mu hua'	'F'	
100720	'ca tang'	'F'	
100721	'pian you'	'F'	
100722	'chao tao'	'M'	
100723	'niang meng'	'M'	
100724	'mu bi'	'F'	
100725	'tong chen'	'F'	
100726	'xing wei'	'F'	
100727	'tiao liu'	'M'	
100728	'tang zhang'	'M'	
100729	'guai li'	'F'	
100730	'gui chang'	'F'	
100731	'mei qi'	'F'	
100732	'shan bu'	'M'	
100733	'nao ni'	'F'	
100734	'cuo yan'	'M'	
100735	'shi wang'	'F'	
100736	'bao zhou'	'M'	
100737	'rou yuan'	'F'	
100738	'bi wang'	'F'	
100739	'dao meng'	'F'	
100740	'lang miao'	'M'	
100741	'pie xi'	'F'	
100742	'cheng he'	'F'	
100743	'tuo xie'	'M'	
100744	'ren xue'	'F'	
100745	'dan qin'	'F'	
100746	'tie zheng'	'M'	
100747	'dui xiao'	'F'	
100748	'shang feng'	'M'	
100749	'ma han'	'M'	
100750	'sui feng'	'M'	
100751	'nie pan'	'M'	
100752	'zhe he'	'F'	
100753	'jiao xi'	'F'	
100754	'er an'	'M'	
100755	'zha shen'	'M'	
100756	'shang lv'	'M'	
100757	'xia yan'	'M'	
100758	'fou chu'	'M'	
100759	'nu chen'	'M'	
100760	'qia wang'	'M'	
100761	'man hua'	'M'	
100762	'hang shi'	'M'	
100763	'cang tao'	'F'	
100764	'pang fei'	'M'	
100765	'shao kong'	'F'	
100766	'peng wei'	'M'	
100767	'cun wu'	'M'	
100768	'sen lu'	'M'	
100769	'hou yin'	'M'	
100770	'cu xiao'	'M'	
100771	'yu xu'	'M'	
100772	'guang le'	'F'	
100773	'zhuo chen'	'M'	
100774	'lang chu'	'F'	
100775	'ha chang'	'F'	
100776	'nu miao'	'F'	
100777	'xian chu'	'M'	
100778	'ce xu'	'F'	
100779	'bao he'	'M'	
100780	'zheng shi'	'F'	
100781	'pai bian'	'M'	
100782	'pen wu'	'M'	
100783	'chang chu'	'F'	
100784	'ai an'	'M'	
100785	'lou sun'	'F'	
100786	'ju he'	'F'	
100787	'ting jiang'	'M'	
100788	'bi hao'	'M'	
100789	'ya fang'	'M'	
100790	'jiu wei'	'F'	
100791	'bing wang'	'F'	
100792	'xun he'	'F'	
100793	'yun qi'	'F'	
100794	'yin xue'	'M'	
100795	'tu yu'	'F'	
100796	'jun han'	'M'	
100797	'sa wu'	'F'	
100798	'zi zhao'	'M'	
100799	'pi qian'	'F'	
100800	'shuai chang'	'M'	
100801	'yi wang'	'M'	
100802	'kuang dou'	'M'	
100803	'lin xiao'	'M'	
100804	'bao ge'	'M'	
100805	'qing qian'	'M'	
100806	'ca gu'	'F'	
100807	'ci chen'	'M'	
100808	'ning he'	'M'	
100809	'liu peng'	'F'	
100810	'xin pi'	'F'	
100811	'nou fan'	'M'	
100812	'pen chang'	'F'	
100813	'shou feng'	'F'	
100814	'ping wei'	'M'	
100815	'chi gu'	'F'	
100816	'nie zhang'	'F'	
100817	'guan chen'	'F'	
100818	'zhi zhu'	'F'	
100819	'xiu wei'	'M'	
100820	'si bu'	'M'	
100821	'ben yin'	'F'	
100822	'zhen yang'	'M'	
100823	'nin you'	'M'	
100824	'san shi'	'M'	
100825	'xie bi'	'M'	
100826	'bang pi'	'M'	
100827	'bai kang'	'F'	
100828	'wa wei'	'F'	
100829	'jiao kong'	'M'	
100830	'hu fei'	'F'	
100831	'gong wei'	'M'	
100832	'chang ju'	'M'	
100833	'pin xu'	'M'	
100834	'shen feng'	'F'	
100835	'nang lei'	'F'	
100836	'ye yun'	'M'	
100837	'jia yun'	'M'	
100838	'lin wang'	'M'	
100839	'nu xue'	'M'	
100840	'dun ge'	'M'	
100841	'mai yuan'	'M'	
100842	'tun hua'	'M'	
100843	'chuo ping'	'F'	
100844	'zhao xie'	'F'	
100845	'hai fei'	'F'	
100846	'gun xiao'	'M'	
100847	'ruan xue'	'F'	
100848	'qiu yu'	'M'	
100849	'cui he'	'M'	
100850	'wang le'	'F'	
100851	'si wei'	'F'	
100852	'nie liu'	'M'	
100853	'ben zhang'	'F'	
100854	'nian zhang'	'F'	
100855	'ni zhao'	'M'	
100856	'kuan hua'	'F'	
100857	'qi han'	'F'	
100858	'que wang'	'M'	
100859	'duo lu'	'F'	
100860	'wu chu'	'M'	
100861	'jiao yu'	'F'	
100862	'bei he'	'F'	
100863	'yi le'	'M'	
100864	'ci fei'	'M'	
100865	'hao ma'	'M'	
100866	'tuo yuan'	'M'	
100867	'die qi'	'F'	
100868	'zhan bu'	'M'	
100869	'qing kang'	'F'	
100870	'tan wu'	'M'	
100871	'li chang'	'M'	
100872	'suo yuan'	'M'	
100873	'cuo su'	'M'	
100874	'jia luo'	'F'	
100875	'huang pi'	'F'	
100876	'pei zhou'	'M'	
100877	'ou bai'	'F'	
100878	'mang miao'	'F'	
100879	'hui feng'	'M'	
100880	'shuo bao'	'M'	
100881	'shan fei'	'F'	
100882	'duo kang'	'F'	
100883	'nin zhou'	'F'	
100884	'lou shi'	'M'	
100885	'le jin'	'F'	
100886	'tang ren'	'M'	
100887	'jiao wei'	'F'	
100888	'gai wei'	'M'	
100889	'lan wei'	'F'	
100890	'sao yin'	'F'	
100891	'dao bai'	'F'	
100892	'pu pi'	'F'	
100893	'zai qin'	'F'	
100894	'hu wang'	'M'	
100895	'dao zhang'	'M'	
100896	'weng bi'	'F'	
100897	'kuai chen'	'M'	
100898	'gua meng'	'M'	
100899	'weng miao'	'M'	
100900	'diao kong'	'M'	
100901	'zhua zhao'	'F'	
100902	'peng bian'	'M'	
100903	'er ren'	'F'	
100904	'tui shen'	'F'	
100905	'zou he'	'M'	
100906	'zhai zhou'	'F'	
100907	'chen wang'	'M'	
100908	'fan xiao'	'M'	
100909	'kang yun'	'F'	
100910	'ze ni'	'M'	
100911	'zuo chen'	'M'	
100912	'ren zhang'	'M'	
100913	'lou shui'	'F'	
100914	'nai li'	'F'	
100915	'ba yuan'	'F'	
100916	'xu wang'	'F'	
100917	'ying kang'	'F'	
100918	'zhuo yan'	'M'	
100919	'da fei'	'F'	
100920	'sa zheng'	'F'	
100921	'hei ping'	'F'	
100922	'tan wei'	'M'	
100923	'e zheng'	'M'	
100924	'lou wang'	'M'	
100925	'cha pan'	'M'	
100926	'ruo yuan'	'M'	
100927	'kan lv'	'F'	
