Exam	580	3
100204	300077	67	
100777	300009	100	
101079	300063	70	
100514	300192	79	
101297	300086	84	
100949	300153	52	
100432	300171	94	
101213	300087	84	
100298	300044	77	
100726	300096	89	
100743	300071	84	
100346	300221	76	
101064	300165	100	
101481	300213	100	
100961	300143	98	
101055	300221	61	
100865	300139	100	
100844	300039	95	
100502	300122	70	
101309	300190	100	
100770	300112	68	
100641	300145	68	
100691	300159	80	
100668	300085	69	
101092	300148	76	
100598	300154	95	
101190	300084	49	
100374	300139	100	
100988	300016	100	
100031	300208	80	
100631	300118	98	
100768	300054	84	
100385	300203	100	
101131	300038	70	
100658	300006	85	
100297	300165	93	
101398	300163	92	
100242	300135	60	
100823	300160	100	
101258	300076	80	
101421	300095	32	
100823	300184	81	
100299	300153	96	
100717	300159	78	
101347	300030	80	
100954	300021	78	
101196	300042	100	
100760	300044	48	
100248	300153	62	
100809	300194	57	
100515	300231	53	
101136	300054	71	
100089	300022	81	
101293	300153	70	
100585	300117	78	
100842	300224	89	
101459	300229	63	
100381	300077	42	
100019	300107	86	
101074	300151	91	
100828	300055	63	
100918	300006	76	
100216	300031	61	
101396	300031	78	
100981	300089	71	
101112	300015	76	
101427	300178	85	
100548	300011	65	
100336	300054	66	
101105	300094	94	
100299	300157	91	
100476	300221	100	
100068	300097	77	
100288	300041	72	
100502	300174	94	
100042	300195	100	
101108	300129	100	
100871	300212	100	
101284	300086	95	
100351	300004	100	
100823	300101	100	
100751	300137	78	
101303	300099	44	
100099	300133	80	
100408	300144	54	
100788	300197	91	
101073	300041	53	
100604	300129	52	
100632	300155	97	
100349	300106	100	
101306	300029	74	
100372	300182	65	
100148	300192	85	
100400	300140	81	
100899	300178	74	
100136	300040	35	
100494	300058	68	
101124	300113	93	
100969	300091	47	
100873	300230	65	
100965	300089	69	
101495	300119	67	
100746	300077	68	
101003	300022	91	
101029	300121	51	
100173	300118	59	
101187	300101	70	
100999	300170	76	
100959	300235	67	
100880	300078	60	
100500	300032	100	
100245	300085	100	
101079	300018	100	
101256	300152	100	
100280	300047	74	
100310	300099	46	
100768	300051	100	
101336	300085	74	
100576	300024	82	
101279	300172	100	
100570	300134	100	
100107	300193	66	
101402	300085	57	
101338	300031	77	
101005	300057	74	
100593	300215	80	
101409	300137	83	
100264	300123	73	
100260	300170	100	
100240	300030	40	
100013	300127	77	
100987	300146	74	
100656	300008	87	
100358	300097	73	
100697	300222	97	
101132	300059	86	
100682	300225	74	
100129	300213	100	
101034	300140	100	
100196	300229	95	
101437	300220	56	
101244	300200	93	
100337	300045	64	
100191	300142	55	
101103	300212	95	
100671	300172	87	
100589	300043	90	
100617	300173	79	
100378	300166	100	
100359	300115	73	
101224	300007	75	
100521	300033	98	
100902	300187	45	
100169	300173	85	
100811	300156	100	
100752	300042	69	
100903	300026	63	
100016	300078	100	
100029	300140	55	
100936	300050	91	
100285	300229	43	
100071	300122	46	
100268	300134	47	
100152	300102	68	
100398	300111	75	
101461	300169	100	
101353	300023	67	
101045	300127	85	
100495	300040	71	
100047	300013	24	
101313	300086	100	
101300	300038	93	
100252	300006	100	
100810	300224	65	
101460	300178	83	
100413	300117	75	
100279	300156	100	
101329	300209	33	
100931	300036	84	
101311	300228	93	
100688	300083	52	
100580	300184	88	
101183	300046	51	
100009	300061	100	
100701	300035	100	
100718	300126	100	
100577	300071	88	
101172	300032	77	
101171	300069	79	
101085	300204	74	
100886	300140	99	
100554	300126	76	
100524	300068	81	
101113	300070	93	
100318	300100	66	
100314	300137	82	
100321	300177	70	
100697	300036	89	
100751	300019	91	
101343	300007	85	
101483	300112	69	
100581	300109	100	
100790	300053	68	
101248	300186	34	
100818	300026	92	
100905	300181	89	
100945	300211	66	
100306	300081	93	
100292	300149	88	
101335	300181	71	
100638	300173	100	
100416	300071	91	
101239	300160	85	
101323	300070	97	
100517	300008	41	
100582	300078	89	
100517	300096	74	
101046	300230	96	
100481	300045	95	
101402	300109	74	
101370	300141	63	
100665	300080	91	
101339	300198	97	
100103	300122	59	
100324	300207	85	
100512	300196	92	
100042	300033	64	
100570	300179	19	
101390	300049	66	
100087	300138	100	
100577	300061	83	
101141	300048	81	
100180	300222	96	
100595	300037	64	
100529	300004	75	
100796	300023	75	
100828	300100	75	
101128	300173	86	
100806	300198	83	
101482	300042	100	
100345	300070	59	
100451	300008	70	
101273	300078	92	
101072	300038	82	
101354	300167	79	
101076	300007	89	
101108	300039	49	
100245	300218	100	
100673	300107	46	
101139	300102	62	
100625	300087	55	
101318	300123	97	
100440	300153	96	
100401	300201	63	
101372	300132	72	
101498	300008	100	
100107	300068	80	
101161	300224	87	
101160	300121	84	
101073	300120	100	
100802	300231	78	
101321	300044	69	
100283	300135	83	
100842	300143	74	
101066	300148	54	
100319	300123	83	
101290	300228	49	
100336	300165	77	
100596	300122	84	
100042	300009	80	
100793	300179	66	
100679	300161	89	
100260	300140	100	
100452	300046	40	
100845	300082	48	
100892	300036	93	
101244	300129	72	
100912	300087	64	
100005	300044	80	
100345	300131	80	
101029	300092	78	
100686	300045	87	
101287	300141	100	
100256	300085	83	
100389	300141	73	
100988	300091	97	
100906	300163	90	
101268	300206	78	
100053	300124	100	
100260	300202	57	
100161	300179	36	
100763	300042	72	
101430	300009	79	
100966	300137	37	
101302	300056	95	
101104	300056	66	
101314	300001	75	
100309	300073	89	
101163	300015	59	
100015	300112	93	
101033	300146	95	
100160	300032	65	
101022	300050	92	
100025	300219	82	
101477	300093	88	
101179	300156	97	
100160	300118	79	
100324	300223	84	
100563	300193	42	
100519	300202	76	
100046	300128	61	
101268	300075	89	
100148	300152	98	
101362	300206	61	
100709	300028	60	
100941	300173	100	
100919	300079	68	
101117	300144	99	
100674	300122	58	
100925	300185	94	
100053	300169	82	
101164	300035	100	
100367	300025	80	
100953	300038	82	
100013	300086	39	
101438	300233	38	
100017	300056	62	
100421	300106	81	
100696	300053	76	
100726	300010	76	
101002	300036	87	
100553	300112	63	
101225	300156	39	
100444	300019	62	
100846	300031	77	
101121	300214	78	
101005	300227	41	
100162	300087	80	
100553	300173	85	
101271	300147	100	
100785	300179	100	
100516	300055	64	
100347	300041	94	
100267	300032	100	
101055	300124	74	
100623	300098	100	
101151	300178	91	
100221	300168	83	
100521	300182	84	
101469	300060	85	
100285	300177	84	
100795	300109	83	
100076	300142	81	
101334	300221	100	
101465	300080	41	
100330	300146	100	
101445	300126	99	
100196	300138	67	
100307	300121	100	
100057	300063	77	
100843	300076	66	
100417	300203	98	
100242	300216	100	
100642	300058	73	
101062	300130	94	
100794	300104	92	
100865	300102	50	
100914	300185	84	
101378	300158	58	
101413	300111	100	
100727	300161	97	
100204	300057	95	
100862	300012	77	
100236	300105	99	
100667	300043	100	
100024	300073	100	
100065	300201	87	
100472	300091	59	
101462	300231	54	
100515	300128	100	
100276	300010	77	
100077	300172	98	
101176	300146	64	
101131	300055	96	
100414	300144	60	
100358	300054	43	
100904	300174	62	
100793	300117	98	
101175	300098	77	
100244	300011	75	
101202	300079	74	
101309	300203	72	
100789	300147	93	
100225	300018	90	
100511	300137	82	
100297	300046	62	
100925	300179	91	
101368	300003	100	
100530	300195	75	
100233	300153	85	
100130	300134	100	
100553	300021	71	
100715	300181	63	
100976	300128	47	
100969	300181	84	
100645	300002	62	
101346	300016	78	
100761	300136	100	
100175	300120	97	
101360	300156	80	
100746	300053	72	
100460	300022	100	
100568	300016	87	
100946	300012	75	
100009	300165	70	
100420	300044	77	
100294	300147	84	
100386	300229	86	
100523	300122	84	
101329	300133	84	
101130	300178	67	
100296	300116	53	
101295	300216	46	
100765	300154	100	
101000	300161	73	
100456	300106	78	
100850	300198	72	
100186	300021	100	
101233	300028	76	
100741	300223	72	
100229	300093	100	
100717	300022	78	
100257	300222	69	
101040	300146	74	
100630	300148	98	
100535	300026	86	
100106	300139	82	
100398	300195	56	
100526	300104	71	
